session_id,subject_id,recording_id,camera_id,filename,abs_path,ethnicity,gender,age,gender_norm,expression_name,expression_id,pose_bin
session02,265,2,14_0,265_02_02_140_14.png,data_cropped/session02/multiview/265/02/14_0/265_02_02_140_14.png,White,Female,20-29,Female,Surprise,2,frontal
session02,240,3,05_0,240_02_03_050_11.png,data_cropped/session02/multiview/240/03/05_0/240_02_03_050_11.png,White,Male,20-29,Male,Squint,3,frontal
session04,66,2,20_0,066_04_02_200_00.png,data_cropped/session04/multiview/066/02/20_0/066_04_02_200_00.png,Asian,Male,20-29,Male,Scream,5,profile
session04,339,3,14_0,339_04_03_140_07.png,data_cropped/session04/multiview/339/03/14_0/339_04_03_140_07.png,White,Female,20-29,Female,Neutral,0,frontal
session03,138,3,05_1,138_03_03_051_06.png,data_cropped/session03/multiview/138/03/05_1/138_03_03_051_06.png,White,Female,40-49,Female,Disgust,4,frontal
session03,240,2,01_0,240_03_02_010_09.png,data_cropped/session03/multiview/240/02/01_0/240_03_02_010_09.png,White,Male,20-29,Male,Smile,1,profile
session02,122,3,12_0,122_02_03_120_11.png,data_cropped/session02/multiview/122/03/12_0/122_02_03_120_11.png,Indian,Male,30-39,Male,Squint,3,profile
session02,148,3,20_0,148_02_03_200_18.png,data_cropped/session02/multiview/148/03/20_0/148_02_03_200_18.png,Asian,Female,30-39,Female,Squint,3,profile
session02,148,2,14_0,148_02_02_140_00.png,data_cropped/session02/multiview/148/02/14_0/148_02_02_140_00.png,Asian,Female,20-29,Female,Surprise,2,frontal
session02,166,2,05_0,166_02_02_050_13.png,data_cropped/session02/multiview/166/02/05_0/166_02_02_050_13.png,White,Male,20-29,Male,Surprise,2,frontal
session02,265,3,05_1,265_02_03_051_05.png,data_cropped/session02/multiview/265/03/05_1/265_02_03_051_05.png,White,Female,30-39,Female,Squint,3,frontal
session02,265,3,14_0,265_02_03_140_19.png,data_cropped/session02/multiview/265/03/14_0/265_02_03_140_19.png,White,Female,30-39,Female,Squint,3,frontal
session02,251,3,20_0,251_02_03_200_02.png,data_cropped/session02/multiview/251/03/20_0/251_02_03_200_02.png,White,Male,10-19,Male,Squint,3,profile
session02,265,3,14_0,265_02_03_140_10.png,data_cropped/session02/multiview/265/03/14_0/265_02_03_140_10.png,White,Female,30-39,Female,Squint,3,frontal
session02,166,3,20_0,166_02_03_200_09.png,data_cropped/session02/multiview/166/03/20_0/166_02_03_200_09.png,White,Male,30-39,Male,Squint,3,profile
session02,122,3,20_0,122_02_03_200_04.png,data_cropped/session02/multiview/122/03/20_0/122_02_03_200_04.png,Indian,Male,30-39,Male,Squint,3,profile
session04,83,2,05_0,083_04_02_050_11.png,data_cropped/session04/multiview/083/02/05_0/083_04_02_050_11.png,Indian,Male,30-39,Male,Scream,5,frontal
session02,265,2,12_0,265_02_02_120_03.png,data_cropped/session02/multiview/265/02/12_0/265_02_02_120_03.png,White,Female,20-29,Female,Surprise,2,profile
session02,265,3,01_0,265_02_03_010_03.png,data_cropped/session02/multiview/265/03/01_0/265_02_03_010_03.png,Asian,Female,20-29,Female,Squint,3,profile
session02,185,3,12_0,185_02_03_120_16.png,data_cropped/session02/multiview/185/03/12_0/185_02_03_120_16.png,White,Male,10-19,Male,Squint,3,profile
session03,253,3,12_0,253_03_03_120_05.png,data_cropped/session03/multiview/253/03/12_0/253_03_03_120_05.png,White,Male,40-49,Male,Disgust,4,profile
session03,83,3,01_0,083_03_03_010_07.png,data_cropped/session03/multiview/083/03/01_0/083_03_03_010_07.png,Indian,Male,30-39,Male,Disgust,4,profile
session04,138,2,20_0,138_04_02_200_01.png,data_cropped/session04/multiview/138/02/20_0/138_04_02_200_01.png,White,Female,20-29,Female,Scream,5,profile
